gpu_name,gpu_uuid,elapsed_seconds,nvidia_timestamp,gpu_clock_mhz,memory_clock_mhz,temperature_c,power_w,gpu_utilization_percent,memory_used_mb,throughput_tflops
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,172.33,2026/09/22 09:28:17.445,1582,7001,67,79.82,97,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,177.38,2026/09/22 09:28:22.497,1575,7001,67,79.77,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,182.45,2026/09/22 09:28:27.564,1567,7001,67,79.83,97,263,21.9902
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,187.5,2026/09/22 09:28:32.611,1567,7001,67,79.74,96,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,192.56,2026/09/22 09:28:37.696,1560,7001,67,79.78,98,263,22.0177
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,197.62,2026/09/22 09:28:42.746,1567,7001,67,79.97,98,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,202.7,2026/09/22 09:28:47.820,1567,7001,67,79.95,98,263,22.2101
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,207.77,2026/09/22 09:28:52.878,1785,7001,67,79.74,97,263,22.0177
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,212.83,2026/09/22 09:28:57.949,1567,7001,68,79.75,98,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,217.91,2026/09/22 09:29:03.042,1560,7001,68,79.62,96,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,223.0,2026/09/22 09:29:08.121,1560,7001,68,79.74,97,263,21.7428
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,228.08,2026/09/22 09:29:13.214,1552,7001,69,79.77,92,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,233.17,2026/09/22 09:29:18.285,1590,7001,69,79.64,98,263,21.4955
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,238.22,2026/09/22 09:29:23.352,1582,7001,69,79.73,97,263,21.4405
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,243.28,2026/09/22 09:29:28.404,1740,7001,70,78.32,58,263,21.7154
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,248.34,2026/09/22 09:29:33.454,1575,7001,69,79.85,97,263,21.7154
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,253.41,2026/09/22 09:29:38.520,1560,7001,69,79.71,98,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,258.47,2026/09/22 09:29:43.587,1545,7001,69,79.68,98,263,22.0177
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,263.52,2026/09/22 09:29:48.619,1552,7001,69,79.69,97,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,268.56,2026/09/22 09:29:53.669,1552,7001,69,79.71,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,273.61,2026/09/22 09:29:58.719,1552,7001,69,79.77,98,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,278.66,2026/09/22 09:30:03.767,1567,7001,69,79.88,97,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,283.7,2026/09/22 09:30:08.811,1567,7001,69,79.94,98,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,288.75,2026/09/22 09:30:13.884,1582,7001,69,80.07,97,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,293.84,2026/09/22 09:30:18.980,1575,7001,69,79.78,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,298.94,2026/09/22 09:30:24.055,1575,7001,68,79.72,96,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,304.0,2026/09/22 09:30:29.136,1575,7001,69,79.67,96,263,21.7154
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,309.09,2026/09/22 09:30:34.225,1567,7001,68,79.84,97,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,314.17,2026/09/22 09:30:39.287,1582,7001,68,80.02,96,263,21.6879
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,319.22,2026/09/22 09:30:44.355,1567,7001,68,79.97,97,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,324.31,2026/09/22 09:30:49.440,1567,7001,67,79.80,97,263,21.6879
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,329.39,2026/09/22 09:30:54.504,1567,7001,68,79.74,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,334.44,2026/09/22 09:30:59.557,1552,7001,68,79.73,97,263,21.9902
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,339.5,2026/09/22 09:31:04.608,1567,7001,68,79.72,97,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,344.56,2026/09/22 09:31:09.676,1530,7001,68,79.69,97,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,349.62,2026/09/22 09:31:14.746,1552,7001,68,79.81,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,354.69,2026/09/22 09:31:19.820,1552,7001,68,79.86,96,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,359.75,2026/09/22 09:31:24.872,1582,7001,69,80.00,97,263,21.7154
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,364.81,2026/09/22 09:31:29.941,1567,7001,69,79.86,98,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,369.89,2026/09/22 09:31:35.025,1567,7001,68,79.69,97,263,21.5779
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,374.98,2026/09/22 09:31:40.109,1552,7001,68,79.61,97,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,380.06,2026/09/22 09:31:45.175,1567,7001,68,79.72,91,263,21.5779
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,385.12,2026/09/22 09:31:50.245,1552,7001,68,79.84,95,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,390.19,2026/09/22 09:31:55.306,1567,7001,68,79.74,97,263,21.7703
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,395.25,2026/09/22 09:32:00.380,1582,7001,68,80.12,96,263,21.8528
