operation,time_seconds,effective_bandwidth_gbs,arithmetic_intensity_flops_per_byte,repetitions
vector_add,0.002550271987915039,315.77273789466426,0.08333333333333333,20
matmul,0.02621685791015625,,682.6666666666666,10
