precision,elements,bytes_per_value,warmup_repetitions,timed_repetitions,average_time_seconds,effective_bandwidth_gbs,arithmetic_intensity_flops_per_byte
FP32,67108864,4,5,20,0.0025517568588256834,315.58898929367484,0.08333333333333333
FP16,67108864,2,5,20,0.0012857279777526856,313.17136359107195,0.16666666666666666
BF16,67108864,2,5,20,0.001287771224975586,312.6744690289485,0.16666666666666666
